Module,Mode,EDI?,TIMESTAMP,Alert / Email,Problem Statements,Solution,SOP
EDI/API,Email,Yes,3/3/2025 15:31,"Subject: Email INC-619806 | API Failure on /bookings/v1 impacting partner traffic

Dear Team,

OAuth token rejection spikes on '/bookings/v1'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",OAuth token rejection spikes on '/bookings/v1'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. All numeric identifiers are randomized placeholders; no credentials stored.,Escalate to EDIAPI Product Team,
EDI/API,Email,Yes,5/20/2025 0:00,"Subject: Email ALR-952015 | EDI/API Data Mismatch on HLCU4722541 at Tuas Port

Dear Team,

Shipper/consignee role swap observed on API payload for HLCU4722541. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-D; affected terminal: Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Shipper/consignee role swap observed on API payload for HLCU4722541. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-D; affected terminal: Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored.,Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable.,
EDI/API,Email,Yes,8/23/2025 18:11,"Subject: Email ALR-136820 | API Failure on /manifest/validate impacting partner traffic

Dear Team,

Intermittent 429 on '/manifest/validate' during webhook deliveries to Partner-E. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Pasir Panjang Terminal 2 ops unaffected but visibility degraded. Context tokens: ESI. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Intermittent 429 on '/manifest/validate' during webhook deliveries to Partner-E. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Pasir Panjang Terminal 2 ops unaffected but visibility degraded. Context tokens: ESI. All numeric identifiers are randomized placeholders; no credentials stored.,Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.,
Vessel,Call,Yes,4/1/2025 6:00,"Call ALR-268498 | Vessel MV TITAN CREST/211S exception at Pasir Panjang Terminal 2 | Issue: EDIFACT COARRI inconsistency for MV TITAN CREST/211S: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","EDIFACT COARRI inconsistency for MV TITAN CREST/211S: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,"VSL: BAPLIE inconsistency for VESSEL_ID: COARRI shows discharge completed for bay BAY_NUMBER, but BAPLIE still lists units in those slots. Older timestamp regressed the plan"
EDI/API,Email,Yes,4/6/2025 16:09,"Subject: FW: EDI SUBMISSION | CS0057390-INC0172705/L

Dear Team,

I have advised user to submit as create and still encounter errors.
Kindly assist
PC_ERR_00001: Your request encountered an unexpected error. Please try again, and contact our helpdesk if problem persists

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-A, while TOS computed local UTC+8. Container MAEU2870491 milestones appeared out-of-order on the portal; ANSI X12 315 'Gate Out' overshadowed later 'Loaded' event. Booking BK-NX54HKNI not impacted operationally but customer view inconsistent. Context tokens: XSIE. All numeric identifiers are randomized placeholders; no credentials stored.","Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable.","API: Time zone drift caused eventTime to serialize in UTC+0 for partner PARTNER_ID, while TOS computed local UTC+8. "
EDI/API,Email,Yes,2/28/2025 2:20,"Subject: Email ALR-132932 | EDI Parsing Issue on ANSI X12 301 (translator quarantine)

Dear Team,

ANSI X12 301 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: COARRI. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",ANSI X12 301 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: COARRI. All numeric identifiers are randomized placeholders; no credentials stored.,Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable.,
Vessel,SMS,No,4/1/2025 3:49,"Alert: SMS ALR-337802 | Issue: ETA/ETB mismatch for MV PACIFIC GLORY (IMO 1365531, CS-G5XCI) on voyage 88D. Berth plan shows ETB at. Please check immediately.","ETA/ETB mismatch for MV PACIFIC GLORY (IMO 1365531, CS-G5XCI) on voyage 88D. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Pasir Panjang reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Vessel,Call,No,8/16/2025 6:04,"Call TCK-248804 | Vessel MV PACIFIC GLORY/7A exception at Pasir Panjang Terminal 2 | Issue: ETA/ETB mismatch for MV PACIFIC GLORY (IMO 9137834, CS-PX8FO) on voyage 7A. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ETA/ETB mismatch for MV PACIFIC GLORY (IMO 9137834, CS-PX8FO) on voyage 7A. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on voyage VOYAGE_ID 
Container Report,SMS,No,2/20/2025 17:20,"Alert: SMS INC-971415 | Issue: OCR system failed to correctly recognize the ID for container EMCU4235988, causing a lane hold to be triggered. The system also flagged seal S2680-ZSE, which did not match the manifest data, leading to a delay in dispatch. The container was queued at lane 3 in PSA Pasir Panjang.","The OCR system failed to capture the correct container ID due to misread data, resulting in a lane hold that delayed dispatch. Manual inspection revealed discrepancies in the seal data as well.",Corrected the seal entry in the system; routed suspicious OCR reads to manual validation for 24 hours. The OCR system was retrained using low-light sample data to improve its accuracy. An operational bulletin was issued to inform relevant teams about the update.,"CNTR: OCR misread of container ID in the gate system, triggering a lane hold."
Vessel,Email,Yes,2/24/2025 17:59,"Subject: Email ALR-815476 | Vessel MV STELLAR WIND/25W exception at PSA Tanjong Pagar

Dear Team,

ANSI X12 315 inconsistency for MV STELLAR WIND/25W: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","ANSI X12 315 inconsistency for MV STELLAR WIND/25W: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,VSL: ANSI X12 301 inconsistency for VESSEL_ID: COARRI shows discharge completed for bay BAY_NUMBER
Container Booking,Call,Yes,9/26/2025 6:55,Call INC-916232 | Container NYKU6346579 exception reported at PSA Pasir Panjang | Issue: Weight and size attributes for NYKU6346579 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1 slot planning at PSA Tanjong Pagar misallocated. Voyage LZ03; last known location Block B3. Suspect duplicate CODECO from yesterday caused field overwrite.. Please investigate and resolve urgently. Contact the relevant team if needed.,Weight and size attributes for NYKU6346579 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at PSA Tanjong Pagar misallocated. Voyage LZ03; last known location Block B3. Suspect duplicate CODECO from yesterday caused field overwrite.,Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,CNTR: Weight and size attributes for CONTAINER_ID do not align with manifest data 
Container Report,SMS,Yes,2/26/2025 17:55,Alert: SMS INC-971728 | Issue: 429 responses and timeouts on '/containers/status' when querying HLCU0393719. slowest 5% of requests latency > 10s; ret. Please check immediately.,429 responses and timeouts on '/containers/status' when querying HLCU0393719. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Keppel.,Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA.,
Container Report,SMS,Yes,8/1/2025 23:20,Alert: SMS ALR-276405 | Issue: Callback delivery failures for HLCU9345212. Webhook sender faced 403 due to peer TLS renegotiation. . Please check immediately.,Callback delivery failures for HLCU9345212. Webhook sender faced 403 due to peer TLS renegotiation. Queue grew and breaker opened. Affected endpoint '/auth/token'.,Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA.,
EDI/API,Email,Yes,6/26/2025 12:52,"Subject: Email ALR-450754 | Operational Anomaly on message pipeline (Partner-B)

Dear Team,

Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-B reported delayed acknowledgements; PSA Pasir Panjang ops not impacted. Context tokens: SAA, OGSMAASIN2500436. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-B reported delayed acknowledgements; PSA Pasir Panjang ops not impacted. Context tokens: SAA, OGSMAASIN2500436. All numeric identifiers are randomized placeholders; no credentials stored.",Corrected cron schedule to UTC; added mutual exclusion lock and run-idempotency; published sanitized incident note and fixed dashboards. Communications used masked ticket references where applicable.,EDI: Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic 
Vessel,SMS,No,6/8/2025 3:41,"Alert: SMS TCK-352223 | Issue: The system failed to process the vessel’s arrival time data for MV OCEAN DAWN/19E, causing a missed ETB BP01 slot. This triggered a lane hold, and towage rescheduling was pending, impacting crane sequencing at PSA Tanjong Pagar.","The vessel’s estimated arrival time (ETA) data was not properly synchronized with the berth scheduling system, resulting in a missed ETB slot and delay in operational processes.",Escalate to Vessel Product Team,
Container Booking,Call,No,4/20/2025 17:14,"Call TCK-904905 | Container NYKU3844865 exception reported at PSA Tanjong Pagar | Issue: Discrepancy between customer portal and TOS for container NYKU3844865 on voyage VA61. Portal shows 'Loaded @ TP04' while TOS indicates 'In Yard - Block D2'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-GOL0W82L and seal S5592-3OE included (randomized placeholders). Yard crane YC22 handled the last move at PSA Keppel.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container NYKU3844865 on voyage VA61. Portal shows 'Loaded @ TP04' while TOS indicates 'In Yard - Block D2'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-GOL0W82L and seal S5592-3OE included (randomized placeholders). Yard crane YC22 handled the last move at PSA Keppel.",Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage VA61); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.,
EDI/API,SMS,Yes,3/22/2025 2:50,Alert: SMS INC-487833 | Issue: Rate limiter throttled legitimate traffic after load surge. Hot keys on '/manifest/validate' created. Please check immediately.,Rate limiter throttled legitimate traffic after load surge. Hot keys on '/manifest/validate' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored.,Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.,
EDI/API,Email,Yes,7/28/2025 12:28,"Subject: Email ALR-526920 | API Failure on /webhooks/delivery/PTNS1F impacting partner traffic

Dear Team,

Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/PTNS1F' created cache stampede; error budget burned for the window. Context tokens: CS0048693. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/PTNS1F' created cache stampede; error budget burned for the window. Context tokens: CS0048693. All numeric identifiers are randomized placeholders; no credentials stored.,Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.,
EDI/API,Call,Yes,9/8/2025 20:17,"Call INC-918106 | EDI/API Data Mismatch on HLCU9588926 at Pasir Panjang Terminal 2 | Issue: Shipper/consignee role swap observed on API payload for HLCU9588926. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-A; affected terminal: Pasir Panjang Terminal 2. Context tokens: S2S1EDIM, PSATERMINL-EXIT. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","Shipper/consignee role swap observed on API payload for HLCU9588926. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-A; affected terminal: Pasir Panjang Terminal 2. Context tokens: S2S1EDIM, PSATERMINL-EXIT. All numeric identifiers are randomized placeholders; no credentials stored.",Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable.,
Container Report,Email,Yes,4/28/2025 2:00,"Subject: Email ALR-388519 | Container TGHU1929557 exception reported at Pasir Panjang Terminal 2

Dear Team,

Translator rejected EDIFACT COARRI for TGHU1929557: segment count mismatch, sequence skipped 018â†’019â†’021. Missing public milestone though warehouse shows correct move.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Translator rejected EDIFACT COARRI for TGHU1929557: segment count mismatch, sequence skipped 018?019?021. Missing public milestone though warehouse shows correct move.",Engaged partner; shared sanitized samples; added pre-ingest normalizer for qualifiers; updated monitoring for repeated segment anomalies.,
EDI/API,Call,Yes,1/25/2025 1:36,Call ALR-994139 | EDI Parsing Issue on BAPLIE (translator quarantine) | Issue: Translator rejected BAPLIE: missing BGM count alignment (UNH/UNT mismatch). Partner Partner-A interchange quarantined; downstream milestone not created. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.,Translator rejected BAPLIE: missing BGM count alignment (UNH/UNT mismatch). Partner Partner-A interchange quarantined; downstream milestone not created. All numeric identifiers are randomized placeholders; no credentials stored.,Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable.,EDI: Translator rejected BAPLIE: missing BGM count alignment (UNH/UNT mismatch) 
Vessel,SMS,Yes,3/21/2025 10:48,Alert: SMS ALR-294138 | Issue: Schedule API intermittently returns 500 for MV OCEAN DAWN/25W; slowest 5% of requests latency > 12s. External subscribe. Please check immediately.,Schedule API intermittently returns 500 for MV OCEAN DAWN/25W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Pasir Panjang. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",VSL: Schedule API intermittently returns 504 for VESSEL_ID; slowest 5% of requests latency > 12s 
EDI/API,Call,Yes,6/9/2025 12:28,Call INC-610906 | API Failure on /auth/token impacting partner traffic | Issue: OAuth token rejection spikes on '/auth/token'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. Context tokens: HLCUPN7241107580. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.,OAuth token rejection spikes on '/auth/token'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. Context tokens: HLCUPN7241107580. All numeric identifiers are randomized placeholders; no credentials stored.,Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.,API: OAuth token rejection spikes on '/auth/token' 
Container Booking,SMS,No,2/27/2025 20:28,Alert: SMS ALR-787326 | Issue: Mismatched shipment party codes for EMCU7870680. Shipper/consignee swapped after a backfill job. Cus. Please check immediately.,Mismatched shipment party codes for EMCU7870680. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Pasir Panjang Terminal 2; booking BK-965K55DM.,Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,CNTR: Mismatched shipment party codes for CONTAINER_ID 
Container Booking,Call,Yes,4/7/2025 15:42,Call TCK-885339 | Container NYKU4022802 exception reported at PSA Keppel | Issue: 502 responses and timeouts on '/bookings/search' when querying NYKU4022802. slowest 5% of requests latency > 10s; retries exhausted gaps visible in customer timeline. Coincides with partner load test near PSA Keppel.. Please investigate and resolve urgently. Contact the relevant team if needed.,502 responses and timeouts on '/bookings/search' when querying NYKU4022802. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Keppel.,Tuned retry backoff and timeouts; scaled read replicas; enabled request coalescing. Rotated OAuth keys and hard-synced NTP; added idempotency on callbacks.,
Container Booking,Email,No,5/4/2025 18:58,"Subject: Email TCK-658198 | Container EMCU7296193 exception reported at Tuas Port

Dear Team,

Mismatched shipment party codes for EMCU7296193. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-SBELRQVS.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Mismatched shipment party codes for EMCU7296193. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-SBELRQVS.,Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,
Container Booking,SMS,No,9/26/2025 16:20,Alert: SMS INC-418635 | Issue: Mismatched shipment party codes for NYKU1045869. Shipper/consignee swapped after a backfill job. Cus. Please check immediately.,Mismatched shipment party codes for NYKU1045869. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Tanjong Pagar; booking BK-WXE6SYLZ.,Escalate to Container Product Team,
EDI/API,SMS,No,4/13/2025 5:46,Alert: SMS ALR-157724 | Issue: Cron for backfill job misfired after DST adjustment; two runs overlapped causing duplicate API publi. Please check immediately.,Cron for backfill job misfired after DST adjustment; two runs overlapped causing duplicate API publications for the same event batch. All numeric identifiers are randomized placeholders; no credentials stored.,Tightened alert thresholds with burn-rate alerts; added synthetic probes; ran retro review and updated runbooks. Communications used masked ticket references where applicable.,
